"","Hylak_id","variable","value","date"
"119",792,"2004-11-01",44495.32,2004-11-01
"120",792,"2004-12-01",35987.156,2004-12-01
"121",792,"2005-01-01",24399.654,2005-01-01
"122",792,"2005-02-01",16420.016,2005-02-01
"123",792,"2005-03-01",21118.047,2005-03-01
"124",792,"2005-04-01",28177.059,2005-04-01
"125",792,"2005-05-01",31202.34,2005-05-01
"126",792,"2005-06-01",50782.61,2005-06-01
"127",792,"2005-07-01",65475.84,2005-07-01
"128",792,"2005-08-01",80211.53,2005-08-01
"129",792,"2005-09-01",75757.27,2005-09-01
"130",792,"2005-10-01",63197.08,2005-10-01
"131",792,"2005-11-01",47635.734,2005-11-01
"132",792,"2005-12-01",35795.258,2005-12-01
"133",792,"2006-01-01",26463.889,2006-01-01
"134",792,"2006-02-01",21895.613,2006-02-01
"135",792,"2006-03-01",25454.113,2006-03-01
"136",792,"2006-04-01",21184.012,2006-04-01
"137",792,"2006-05-01",29705.537,2006-05-01
"138",792,"2006-06-01",45649.035,2006-06-01
"139",792,"2006-07-01",69646.55,2006-07-01
"140",792,"2006-08-01",84569.19,2006-08-01
"141",792,"2006-09-01",79874.75,2006-09-01
"142",792,"2006-10-01",63927.816,2006-10-01
"143",792,"2006-11-01",46203.746,2006-11-01
"144",792,"2006-12-01",36621.46,2006-12-01
"145",792,"2007-01-01",28667,2007-01-01
"146",792,"2007-02-01",19001.21,2007-02-01
"147",792,"2007-03-01",20687.533,2007-03-01
"148",792,"2007-04-01",29862.26,2007-04-01
"149",792,"2007-05-01",43430.457,2007-05-01
"150",792,"2007-06-01",58232.137,2007-06-01
"151",792,"2007-07-01",68709.09,2007-07-01
"152",792,"2007-08-01",82755.34,2007-08-01
"153",792,"2007-09-01",75770.96,2007-09-01
"154",792,"2007-10-01",63289.64,2007-10-01
"155",792,"2007-11-01",45787.945,2007-11-01
"156",792,"2007-12-01",36413.965,2007-12-01
"157",792,"2008-01-01",28859.512,2008-01-01
"158",792,"2008-02-01",19785.816,2008-02-01
"159",792,"2008-03-01",24686.334,2008-03-01
"160",792,"2008-04-01",32750.56,2008-04-01
"161",792,"2008-05-01",38842.27,2008-05-01
"162",792,"2008-06-01",56218.855,2008-06-01
"163",792,"2008-07-01",70821.51,2008-07-01
"164",792,"2008-08-01",80759.94,2008-08-01
"165",792,"2008-09-01",76316.86,2008-09-01
"166",792,"2008-10-01",66252.305,2008-10-01
"167",792,"2008-11-01",44515.895,2008-11-01
"168",792,"2008-12-01",38260.832,2008-12-01
"169",792,"2009-01-01",27128.852,2009-01-01
"170",792,"2009-02-01",21686.13,2009-02-01
"171",792,"2009-03-01",25972.457,2009-03-01
"172",792,"2009-04-01",31676.852,2009-04-01
"173",792,"2009-05-01",34226.152,2009-05-01
"174",792,"2009-06-01",45873.254,2009-06-01
"175",792,"2009-07-01",67491.83,2009-07-01
"176",792,"2009-08-01",76235.914,2009-08-01
"177",792,"2009-09-01",73407.12,2009-09-01
"178",792,"2009-10-01",64139.484,2009-10-01
"179",792,"2009-11-01",47546.58,2009-11-01
"180",792,"2009-12-01",34086.227,2009-12-01
"181",792,"2010-01-01",23188.11,2010-01-01
"182",792,"2010-02-01",16297.324,2010-02-01
"183",792,"2010-03-01",25314.5,2010-03-01
"184",792,"2010-04-01",29898.213,2010-04-01
"185",792,"2010-05-01",38714.76,2010-05-01
"186",792,"2010-06-01",43860.516,2010-06-01
"187",792,"2010-07-01",63058.92,2010-07-01
"188",792,"2010-08-01",78205.79,2010-08-01
"189",792,"2010-09-01",70665.36,2010-09-01
"190",792,"2010-10-01",59386.062,2010-10-01
"191",792,"2010-11-01",47809.81,2010-11-01
"192",792,"2010-12-01",33386.754,2010-12-01
"193",792,"2011-01-01",24926.299,2011-01-01
"194",792,"2011-02-01",25172.162,2011-02-01
"195",792,"2011-03-01",21693.99,2011-03-01
"196",792,"2011-04-01",26179.033,2011-04-01
"197",792,"2011-05-01",36236.09,2011-05-01
"198",792,"2011-06-01",40886.555,2011-06-01
"199",792,"2011-07-01",59540.06,2011-07-01
"200",792,"2011-08-01",74821.84,2011-08-01
"201",792,"2011-09-01",67894.93,2011-09-01
"202",792,"2011-10-01",62679.133,2011-10-01
"203",792,"2011-11-01",48973.137,2011-11-01
"204",792,"2011-12-01",39357.594,2011-12-01
"205",792,"2012-01-01",28295.262,2012-01-01
"206",792,"2012-02-01",22526.383,2012-02-01
"207",792,"2012-03-01",25979.906,2012-03-01
"208",792,"2012-04-01",24976.31,2012-04-01
"209",792,"2012-05-01",42638.58,2012-05-01
"210",792,"2012-06-01",57003.67,2012-06-01
"211",792,"2012-07-01",67458.664,2012-07-01
"212",792,"2012-08-01",78654.72,2012-08-01
"213",792,"2012-09-01",72350.88,2012-09-01
"214",792,"2012-10-01",64100.77,2012-10-01
"215",792,"2012-11-01",47629.78,2012-11-01
"216",792,"2012-12-01",36188.75,2012-12-01
"217",792,"2013-01-01",28077.633,2013-01-01
"218",792,"2013-02-01",21292.453,2013-02-01
"219",792,"2013-03-01",21957.531,2013-03-01
"220",792,"2013-04-01",32347.496,2013-04-01
"221",792,"2013-05-01",42644.86,2013-05-01
"222",792,"2013-06-01",53641.07,2013-06-01
"223",792,"2013-07-01",69002.31,2013-07-01
"224",792,"2013-08-01",78001.25,2013-08-01
"225",792,"2013-09-01",73194.63,2013-09-01
"226",792,"2013-10-01",65520.254,2013-10-01
"227",792,"2013-11-01",46789.63,2013-11-01
"228",792,"2013-12-01",36752.55,2013-12-01
"229",792,"2014-01-01",26999.459,2014-01-01
"230",792,"2014-02-01",20261.305,2014-02-01
"231",792,"2014-03-01",24281.223,2014-03-01
"232",792,"2014-04-01",30271.74,2014-04-01
"233",792,"2014-05-01",45730.68,2014-05-01
"234",792,"2014-06-01",59255.605,2014-06-01
"235",792,"2014-07-01",62345.85,2014-07-01
"236",792,"2014-08-01",72782.4,2014-08-01
"237",792,"2014-09-01",69657.12,2014-09-01
"238",792,"2014-10-01",64264.996,2014-10-01
"239",792,"2014-11-01",46728.98,2014-11-01
"240",792,"2014-12-01",34497.4,2014-12-01
"241",792,"2015-01-01",25020.809,2015-01-01
"242",792,"2015-02-01",21713.838,2015-02-01
"243",792,"2015-03-01",26395.066,2015-03-01
"244",792,"2015-04-01",37881.65,2015-04-01
"245",792,"2015-05-01",38834.812,2015-05-01
"246",792,"2015-06-01",51394.242,2015-06-01
"247",792,"2015-07-01",63424.81,2015-07-01
"248",792,"2015-08-01",78057.195,2015-08-01
"249",792,"2015-09-01",74657.16,2015-09-01
"250",792,"2015-10-01",57200.094,2015-10-01
"251",792,"2015-11-01",47472.652,2015-11-01
"252",792,"2015-12-01",36296.492,2015-12-01
"253",792,"2016-01-01",23935.613,2016-01-01
"254",792,"2016-02-01",19018.18,2016-02-01
"255",792,"2016-03-01",23126.18,2016-03-01
"256",792,"2016-04-01",25912.168,2016-04-01
"257",792,"2016-05-01",35552.88,2016-05-01
"258",792,"2016-06-01",56907.723,2016-06-01
"259",792,"2016-07-01",77656.96,2016-07-01
"260",792,"2016-08-01",78099.06,2016-08-01
"261",792,"2016-09-01",77213.68,2016-09-01
"262",792,"2016-10-01",66738.48,2016-10-01
"263",792,"2016-11-01",43972.18,2016-11-01
"264",792,"2016-12-01",34972.24,2016-12-01
"265",792,"2017-01-01",27506.443,2017-01-01
"266",792,"2017-02-01",17700.668,2017-02-01
"267",792,"2017-03-01",19631.844,2017-03-01
"268",792,"2017-04-01",26092.178,2017-04-01
"269",792,"2017-05-01",33081.44,2017-05-01
"270",792,"2017-06-01",48362.3,2017-06-01
"271",792,"2017-07-01",68076.81,2017-07-01
"272",792,"2017-08-01",69440.91,2017-08-01
"273",792,"2017-09-01",71712.77,2017-09-01
"274",792,"2017-10-01",67011.97,2017-10-01
"275",792,"2017-11-01",49116.363,2017-11-01
"276",792,"2017-12-01",39173.37,2017-12-01
"277",792,"2018-01-01",24519.572,2018-01-01
"278",792,"2018-02-01",25399.004,2018-02-01
"279",792,"2018-03-01",26074.453,2018-03-01
"280",792,"2018-04-01",27621.03,2018-04-01
"281",792,"2018-05-01",31847.422,2018-05-01
"282",792,"2018-06-01",57638.863,2018-06-01
"283",792,"2018-07-01",67989.95,2018-07-01
"284",792,"2018-08-01",85174.305,2018-08-01
"285",792,"2018-09-01",82215.84,2018-09-01
"286",792,"2018-10-01",62819.59,2018-10-01
"287",792,"2018-11-01",48588.91,2018-11-01
"288",792,"2018-12-01",34610.72,2018-12-01
